#auto generated file!
12.0;58;62;62;45;63;60;69;58;62;61
18.0;62;65;61;45;62;59;69;56;62;59
24.0;63;64;60;46;67;59;67;56;63;55
30.0;62;62;61;46;68;61;68;52;65;55
36.0;64;64;63;47;67;62;66;52;61;54
42.0;63;64;64;48;66;65;66;50;59;55
48.0;64;67;65;48;66;64;65;47;60;54
54.0;65;67;66;51;68;62;64;46;57;54
60.0;68;66;67;51;68;63;64;45;53;55
66.0;69;70;67;52;66;64;61;43;55;53
72.0;68;71;69;51;66;63;59;44;54;55
78.0;69;69;67;52;65;64;61;45;54;54
84.0;70;69;68;53;65;64;62;44;53;52
90.0;69;72;70;54;67;65;57;40;52;54
96.0;71;75;72;56;67;64;54;41;49;51
102.0;73;75;71;57;67;62;55;42;48;50
108.0;72;75;71;57;70;65;55;41;45;49
114.0;73;75;70;57;71;63;57;42;44;48
120.0;73;76;71;56;68;67;55;40;45;49
126.0;71;77;72;55;70;69;55;39;41;51
132.0;71;81;71;57;70;69;50;39;42;50
138.0;72;81;72;58;70;71;49;39;40;48
144.0;76;81;73;57;72;73;47;39;36;46
150.0;79;82;73;58;72;71;46;38;36;45
156.0;81;82;73;59;71;72;45;38;36;43
162.0;81;82;70;60;73;70;45;39;36;44
168.0;83;84;69;60;73;73;44;39;35;40
174.0;86;84;69;62;74;74;44;34;33;40
180.0;86;83;69;63;76;73;45;35;32;38
186.0;87;85;67;64;76;74;45;32;32;38
192.0;88;86;68;64;76;73;46;30;31;38
198.0;88;89;66;65;76;76;41;34;26;39
204.0;88;88;66;64;77;76;40;35;27;39
210.0;87;87;67;64;78;75;39;36;28;39
216.0;93;91;69;61;78;72;37;37;26;36
222.0;93;91;69;62;78;72;36;37;25;37
228.0;94;95;68;63;77;73;34;35;26;35
234.0;95;96;69;63;76;72;34;33;27;35
240.0;97;95;69;63;78;69;35;32;28;34
246.0;97;95;69;63;78;69;37;31;29;32
252.0;98;91;70;62;79;71;36;33;29;31
258.0;98;89;70;66;77;74;31;31;31;33
